ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,MXN,49,922.33,25/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,GBP,49,19.69,25/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,USD,49,19.69,25/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,EUR,49,19.69,25/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,CHF,49,19.69,25/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,GBP,49,68.51,25/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,USD,49,68.51,25/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,EUR,49,68.51,25/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,CHF,49,68.51,25/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,MXN,49,68.51,25/06/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,GBP,30,988.32,25/06/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,USD,30,988.32,25/06/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,EUR,30,988.32,25/06/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,CHF,30,988.32,25/06/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,GBP,15,395.9,25/06/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,USD,15,395.9,25/06/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,EUR,15,395.9,25/06/2026
L&G DAX Daily 2x Long UCITS ETF,L&G,IE00B4QNHH68,EUR,40,43.53,25/06/2026
L&G DAX Daily 2x Long UCITS ETF,L&G,IE00B4QNHH68,GBP,40,43.53,25/06/2026
L&G DAX Daily 2x Short UCITS ETF,L&G,IE00B4QNHZ41,EUR,50,22.41,25/06/2026
L&G DAX Daily 2x Short UCITS ETF,L&G,IE00B4QNHZ41,GBP,50,22.41,25/06/2026
L&G FTSE 100 Leveraged (Daily 2x) UCITS ETF,L&G,IE00B4QNJJ23,GBP,50,23.36,25/06/2026
L&G FTSE 100 Super Short Strategy (Daily 2x) UCITS ETF,L&G,IE00B4QNK008,GBP,60,5.85,25/06/2026
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,GBP,500,1485.23,25/06/2026
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,USD,500,1485.23,25/06/2026
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,EUR,500,1485.23,25/06/2026
L&G UK Equity UCITS ETF,L&G,IE00BFXR5R48,GBP,500,177.49,25/06/2026
L&G UK Equity UCITS ETF,L&G,IE00BFXR5R48,EUR,500,177.49,25/06/2026
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,GBP,10,1599.56,25/06/2026
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,USD,10,1599.56,25/06/2026
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,EUR,10,1599.56,25/06/2026
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,GBP,10,850.65,25/06/2026
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,USD,10,850.65,25/06/2026
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,EUR,10,850.65,25/06/2026
L&G Europe ex UK Equity UCITS ETF,L&G,IE00BFXR5V83,EUR,10,970.46,25/06/2026
L&G Europe ex UK Equity UCITS ETF,L&G,IE00BFXR5V83,GBP,10,970.46,25/06/2026
L&G Asia Pacific ex Japan Equity UCITS ETF,L&G,IE00BFXR5W90,GBP,10,739.14,25/06/2026
L&G Asia Pacific ex Japan Equity UCITS ETF,L&G,IE00BFXR5W90,USD,10,739.14,25/06/2026
L&G Asia Pacific ex Japan Equity UCITS ETF,L&G,IE00BFXR5W90,EUR,10,739.14,25/06/2026
