etf_listing_name,issuer,isin,ccy,ter,aum_m
JPM US Research Enhanced Index Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000CN8T855,EUR,0.2,14982.47
JPM US Research Enhanced Index Equity Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE0003FI3HY1,GBP,0.2,14982.47
JPM US Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BF4G7076,USD,0.2,14982.47
JPM US Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE00BJ06C044,USD,0.2,14982.47
JPM US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - CHF Hedged (acc),J.P. Morgan Asset Management,IE000F7TZ3H9,CHF,0.2,796.33
JPM US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000I5MBLC4,EUR,0.2,796.33
JPM US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE0006HMLPV6,EUR,0.2,796.33
JPM US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE000EY5U730,GBP,0.2,796.33
JPM US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00069JGT58,USD,0.2,796.33
JPM US Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE0002UMVXQ1,USD,0.2,796.33
JPM US Value Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000CQQ22C8,EUR,0.49,87.64
JPM US Value Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000TD3TI26,USD,0.49,87.64
JPM US Value Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000DTA2ZH9,USD,0.49,87.64
JPM USD Emerging Markets Sovereign Bond UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE00BDDRDY39,EUR,0.39,417.9
JPM USD Emerging Markets Sovereign Bond UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE00BJLTWS02,GBP,0.39,417.9
JPM USD Emerging Markets Sovereign Bond UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BJ06C937,USD,0.39,417.9
JPM USD Emerging Markets Sovereign Bond UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE00BDFC6G93,USD,0.39,417.9
JPM USD High Yield Bond Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000CQMYME2,EUR,0.45,246.27
JPM USD High Yield Bond Active UCITS ETF - EUR Hedged (dist),J.P. Morgan Asset Management,IE000R7DCW45,EUR,0.45,246.27
JPM USD High Yield Bond Active UCITS ETF - GBP Hedged (acc),J.P. Morgan Asset Management,IE000CF2JI38,GBP,0.45,246.27
JPM USD High Yield Bond Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE0002WLH200,GBP,0.45,246.27
JPM USD High Yield Bond Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000LZI2UH4,USD,0.45,246.27
JPM USD High Yield Bond Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000R88UVN6,USD,0.45,246.27
JPM USD IG Corporate Bond Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE0000J0F3C5,EUR,0.04,96.84
JPM USD IG Corporate Bond Active UCITS ETF - GBP Hedged (acc),J.P. Morgan Asset Management,IE00BN7JCJ33,GBP,0.04,96.84
JPM USD IG Corporate Bond Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE000C3S79I0,GBP,0.04,96.84
JPM USD IG Corporate Bond Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BF59RV63,USD,0.04,96.84
JPM USD IG Corporate Bond Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE00BN4RDY28,USD,0.04,96.84
JPM USD Ultra-Short Income Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BG8BCY43,USD,0.18,1006.98
JPM USD Ultra-Short Income Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE00BDFC6Q91,USD,0.18,1006.98
