Workbook Provider,ISIN,DistinctISINCount,Status,Latest Provider Hits,Repo File Hit Count,Repo File Samples
Amundi ETF,FR0011720911,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0012399772,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0012399806,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0014002CG3,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0014002CH1,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE0005E8B9S4,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE00085PWS28,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE0009HF1MK9,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE000BI8OT95,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE000IEGVMH6,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE000KTD59H4,211,missing_in_repo,,0,
Amundi ETF,IE000KYX7IP4,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE000O5FBC47,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE000QIF5N15,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE000XL4IXU1,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,IE000Y9MG996,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
