ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,MXN,49,728.01,USD,07/07/2026
L&G MSCI Europe Select UCITS ETF,L&G,IE00BKLTRN76,EUR,10,639.2,EUR,07/07/2026
L&G MSCI Europe Select UCITS ETF,L&G,IE00BKLTRN76,GBP,10,639.2,EUR,07/07/2026
L&G MSCI Europe Select UCITS ETF,L&G,IE00BKLTRN76,CHF,10,639.2,EUR,07/07/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,GBP,12,206.69,USD,07/07/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,USD,12,206.69,USD,07/07/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,EUR,12,206.69,USD,07/07/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,CHF,12,206.69,USD,07/07/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,GBP,49,897.9,USD,07/07/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,USD,49,897.9,USD,07/07/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,EUR,49,897.9,USD,07/07/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,CHF,49,897.9,USD,07/07/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,MXN,49,897.9,USD,07/07/2026
L&G UK Gilt 0-5 Year UCITS ETF,L&G,IE00BLRPQK69,GBP,6,268.38,GBP,07/07/2026
L&G China CNY Bond UCITS ETF,L&G,IE000F472DU7,EUR,30,92.96,EUR,07/07/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,GBP,30,106.13,USD,07/07/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,USD,30,106.13,USD,07/07/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,EUR,30,106.13,USD,07/07/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,CHF,30,106.13,USD,07/07/2026
L&G GBP Corporate Bond Screened UCITS ETF,L&G,IE00BLRPQM83,GBP,9,150.79,GBP,07/07/2026
L&G GBP Corporate Bond 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQN90,GBP,9,100.02,GBP,07/07/2026
L&G Emerging Markets Government Bond (USD) 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQP15,GBP,25,1052.97,USD,07/07/2026
L&G Emerging Markets Government Bond (USD) 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQP15,USD,25,1052.97,USD,07/07/2026
L&G Emerging Markets Government Bond (USD) 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQP15,EUR,25,1052.97,USD,07/07/2026
L&G Emerging Markets Government Bond (USD) 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQP15,CHF,25,1052.97,USD,07/07/2026
L&G USD Corporate Bond Screened UCITS ETF,L&G,IE000NA8E2W0,EUR,12,79.23,EUR,07/07/2026
L&G USD Corporate Bond Screened UCITS ETF,L&G,IE00BLRPRD67,GBP,9,90.46,USD,07/07/2026
L&G USD Corporate Bond Screened UCITS ETF,L&G,IE00BLRPRD67,USD,9,90.46,USD,07/07/2026
L&G USD Corporate Bond Screened UCITS ETF,L&G,IE00BLRPRD67,EUR,9,90.46,USD,07/07/2026
L&G USD Corporate Bond Screened UCITS ETF,L&G,IE00BLRPRD67,CHF,9,90.46,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE000YPT5PG3,GBP,38,168.48,GBP,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE000ZO4CUT7,EUR,38,197.1,EUR,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLCGR455,GBP,35,225.03,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLCGR455,USD,35,225.03,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLCGR455,CHF,35,225.03,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,GBP,35,225.03,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,USD,35,225.03,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,EUR,35,225.03,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,CHF,35,225.03,USD,07/07/2026
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE0007EH5UK6,CHF,38,181.51,CHF,07/07/2026
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,GBP,49,536.09,USD,07/07/2026
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,USD,49,536.09,USD,07/07/2026
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,EUR,49,536.09,USD,07/07/2026
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,CHF,49,536.09,USD,07/07/2026
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,MXN,49,536.09,USD,07/07/2026
